Name,M*,fDM(Reff),sigma_fdm(Reff)
None,[Msun],None,None
1.879,9885530946.56941,0.12,0
1.996,12473835142.429434,0.24,0
1.806,13835663789.71781,0.2,0
2.108,33884415613.920208,0.11,0
1.87,9183325964.83579,0.57,0
1.892,10990058394.32522,0.15,0
1.551,3881503659.906486,0.0,0
2.047,20653801558.105354,0.14,0
2.16,85901352150.53943,0.0,0
1.989,26181830082.189808,0.0,0
1.852,10162486928.706947,0.07,0
1.843,10715193052.376047,0.16,0
2.343,147570653327.5896,0.43,0
1.902,14689262776.43872,0.0,0
2.251,79983425500.70293,0.08,0
2.262,97498963771.73848,0.08,0
2.038,13458603540.55947,0.19,0
2.254,101624869287.06949,0.18,0
2.225,125314117494.1413,0.38,0
2.222,65765783735.54226,0.0,0
2.225,27733201046.51838,0.13,0
1.958,10543868963.91258,0.76,0
1.906,16595869074.375631,0.0,0
1.898,25822601906.346012,0.0,0
2.095,45708818961.48752,0.14,0
1.958,35645113342.62439,0.12,0
2.224,43752210515.8252,0.06,0
2.152,20844908830.972927,0.17,0
2.293,77624711662.86928,0.06,0
2.282,47643098680.541466,0.01,0
2.224,24831331052.95578,0.07,0
2.005,21727011788.637432,0.17,0
2.019,15275660582.380701,0.18,0
2.257,74301913789.67021,0.11,0
2.285,66680676921.36219,0.0,0
2.104,22750974307.720764,0.07,0
2.029,43451022417.15732,0.0,0
2.297,341979442513.7094,0.0,0
2.121,30478949896.27983,0.04,0
2.105,14157937799.570808,0.45,0
2.196,28575905433.749435,0.0,0
2.212,89125093813.3744,0.06,0
2.121,32809529311.3119,0.25,0
2.193,26668586645.214806,0.11,0
2.162,125025903021.77238,0.0,0
2.355,126473634747.1147,0.07,0
1.914,7095777679.633873,0.42,0
1.794,6397348354.826495,0.44,0
2.101,21478304741.305286,0.18,0
1.837,8609937521.845982,0.23,0
2.052,27289777828.080402,0.48,0
2.252,133967668742.59372,0.08,0
2.183,98401110576.11305,0.0,0
2.256,125602996369.48753,0.04,0
2.248,57676646339.22497,0.11,0
1.944,16788040181.22559,0.15,0
2.045,23713737056.61655,0.21,0
2.108,27605778562.203503,0.06,0
2.269,64416926551.51762,0.33,0
2.14,31260793671.23949,0.22,0
1.888,10814339512.979397,0.18,0
1.967,9311078754.67829,0.47,0
2.277,109647819614.31873,0.14,0
1.861,5093308710.571962,0.21,0
2.182,37931498497.36825,0.05,0
2.005,10964781961.431828,0.24,0
1.856,4764309868.054166,0.25,0
1.993,15205475297.32497,0.24,0
2.068,11641260294.10493,0.23,0
2.129,46344691973.62884,0.0,0
1.804,9246981739.38221,0.11,0
1.923,10023052380.778982,0.0,0
2.315,209893988362.35202,0.07,0
2.228,82224264994.70729,0.09,0
2.26,45394161665.02032,0.12,0
2.294,169044093164.32632,0.0,0
2.157,67142885292.59523,0.28,0
2.118,27164392688.39089,0.23,0
2.195,32136605386.40328,0.13,0
2.246,142560759360.21878,0.17,0
2.15,23120647901.755894,0.34,0
2.224,40179081084.89391,0.21,0
2.101,47973344863.668816,0.0,0
2.335,322106879128.3428,0.14,0
2.268,62373483548.24191,0.04,0
1.941,6792036326.171857,0.6,0
2.128,17418068733.916126,0.2,0
1.916,5888436553.555883,0.34,0
2.125,22961486481.123653,0.0,0
2.081,21877616239.495518,0.0,0
2.249,87700082114.36339,0.22,0
2.35,77090346906.44308,0.15,0
2.195,34593937782.61231,0.08,0
2.26,144543977074.5922,0.0,0
2.264,58076441752.131355,0.07,0
2.213,42072662838.44446,0.0,0
1.838,18706821403.658016,0.2,0
2.252,36057864302.16427,0.16,0
1.915,7194489780.037013,0.2,0
2.232,148936107771.09152,0.25,0
2.224,50699070827.47044,0.08,0
2.095,37931498497.368095,0.22,0
2.111,40086671762.730255,0.0,0
2.124,51880003892.896095,0.04,0
2.288,91622049012.19992,0.22,0
1.901,3981071705.5349693,0.78,0
2.11,37239170625.456825,0.08,0
2.203,48977881936.84457,0.04,0
2.036,7816278045.883276,0.51,0
2.424,410204102986.6064,0.28,0
2.207,29991625189.87653,0.02,0
2.029,26061535499.98898,0.31,0
2.092,33342641276.32347,0.17,0
2.188,42953642676.48864,0.2,0
2.096,55718574893.19304,0.0,0
2.328,95719407129.4844,0.26,0
2.357,165576996346.95258,0.0,0
2.0,10592537251.772898,0.0,0
1.956,11091748152.624008,0.32,0
1.98,27039583641.08835,0.0,0
2.027,28183829312.644493,0.34,0
2.384,33265955329.40047,0.01,0
2.104,18749945080.674175,0.22,0
2.242,46344691973.62884,0.08,0
2.345,296483138952.4351,0.18,0
2.158,50350060878.79048,0.27,0
2.412,338844156139.202,0.15,0
2.092,10375284158.180126,0.53,0
1.994,18578044550.91699,0.0,0
2.253,180717412601.0933,0.5,0
1.998,15205475297.32497,0.0,0
2.28,365594791613.1254,0.17,0
2.133,29716660317.38019,0.13,0
1.918,13835663789.71781,0.14,0
2.248,146554784095.59128,0.0,0
1.999,16180800376.430645,0.0,0
2.184,41114972110.45229,0.13,0
2.231,65614526630.290565,0.0,0
1.901,18197008586.099823,0.0,0
1.947,9225714271.547665,0.15,0
2.199,69984199600.22717,0.2,0
2.106,33962527259.04089,0.06,0
2.398,595662143529.0109,0.0,0
2.271,61235039172.47721,0.24,0
1.93,14689262776.438662,0.05,0
1.88,7261059574.351558,0.2,0
2.173,66680676921.36219,0.47,0
2.14,37068072178.257515,0.0,0
1.941,9549925860.21433,0.3,0
2.422,483058802039.77185,0.13,0
2.091,15523870099.580849,0.0,0
1.832,2477422057.633286,0.77,0
2.176,80352612218.5616,0.2,0
2.128,48752849010.33871,0.0,0
2.269,110407861990.20712,0.16,0
2.32,174984668862.46512,0.0,0
2.007,13182567385.564047,0.01,0
2.274,57279603098.58304,0.0,0
2.062,16865530253.887424,0.21,0
1.971,18281002161.42737,0.0,0
2.351,136144468246.59511,0.21,0
2.189,37068072178.25767,0.04,0
2.223,44360864393.14327,0.15,0
2.028,21134890398.366432,0.38,0
2.099,74989420933.24559,0.18,0
2.04,41495404263.43616,0.0,0
1.935,10715193052.376047,0.56,0
2.296,129717927098.39546,0.03,0
1.884,6637430704.019075,0.5,0
2.09,65313055264.74743,0.25,0
2.259,190546071796.32443,0.39,0
2.134,23550492838.960087,0.05,0
2.171,69984199600.22745,0.14,0
2.428,451855944374.9235,0.29,0
2.263,25822601906.345905,0.1,0
1.847,8433347577.642757,0.1,0
1.991,41686938347.03346,0.0,0
1.728,7961593504.173183,0.0,0
2.229,116680961706.0963,0.0,0
2.02,57411646220.732796,0.0,0
1.717,7516228940.182045,0.0,0
2.241,200909281260.8732,0.25,0
2.204,53456435939.697136,0.21,0
2.126,91201083935.59077,0.23,0
2.023,12274392311.584085,0.55,0
2.046,13273944577.297373,0.22,0
1.986,18323144223.71211,0.33,0
2.228,153815464030.3039,0.0,0
1.824,9527961640.236502,0.55,0
2.315,122179966016.4871,0.09,0
2.351,300607630262.82294,0.16,0
2.189,27289777828.080402,0.21,0
2.449,271643926883.9078,0.11,0
1.943,9817479430.199863,0.47,0
1.938,11885022274.370213,0.27,0
1.956,7311390834.834187,0.73,0
2.197,68233869414.16691,0.21,0
2.257,82224264994.70695,0.49,0
2.061,19860949173.573715,0.33,0
2.085,41020410298.66064,0.0,0
2.223,103276140576.13959,0.09,0
2.296,62950618285.71968,0.2,0
1.924,18492686189.780758,0.13,0
2.216,40926065973.00109,0.17,0
2.306,213796208950.22324,0.01,0
1.907,12105981335.504827,0.04,0
2.191,75857757502.91852,0.0,0
2.17,54827696492.085464,0.37,0
2.138,20090928126.087234,0.06,0
2.176,69342580601.6568,0.1,0
2.16,80723503024.88382,0.06,0
2.216,84722741414.0598,0.12,0
1.905,8531001140.175878,0.12,0
2.324,260615354999.88977,0.47,0
2.158,65012969034.30889,0.14,0
2.35,143879857825.58435,0.0,0
2.098,26061535499.988873,0.01,0
2.357,30690219883.91158,0.0,0
2.349,322849412171.26245,0.14,0
2.02,24043628000.069344,0.12,0
2.035,50815944256.056,0.0,0
2.196,99770006382.25546,0.0,0
2.224,60673632958.850464,0.24,0
2.202,53703179637.02532,0.17,0
1.946,22803420720.004208,0.48,0
2.051,15170503674.593338,0.0,0
2.021,15739828644.66223,0.31,0
2.295,89125093813.3744,0.16,0
2.257,67764150761.06744,0.12,0
2.153,58748935252.977684,0.2,0
2.178,94406087628.59225,0.0,0
2.114,39084089579.24025,0.16,0
2.024,18155156627.73137,0.36,0
2.097,30831879502.493595,0.07,0
2.058,36897759857.015045,0.13,0
1.873,9418895965.228418,0.45,0
1.981,14454397707.459278,0.05,0
1.763,9885530946.56941,0.0,0
