Name,Mstellar[Msun],fDM(Reff),+ErrorfDM,-ErrorfDM,Reff[kpc],Redshift
SDSSJ0037-0942,301995172040.2019,0.66,0.04,0.05,7.320071296072319,0.1955
SDSSJ0216-0813,616595001861.481,0.83,0.03,0.03,13.119900157568258,0.3317
SDSSJ0912+0029,512861383991.36584,0.77,0.03,0.04,11.245312374036061,0.1642
SDSSJ0935-0003,524807460249.7734,0.81,0.03,0.03,21.480787423366493,0.3475
SDSSJ0959+0410,81283051616.40996,0.71,0.04,0.05,3.2352063571377783,0.126
SDSSJ1204+0358,158489319246.11108,0.57,0.06,0.11,4.275728294457104,0.1644
SDSSJ1250+0523,338844156139.202,0.35,0.1,0.08,6.897397567149271,0.2318
SDSSJ1451-0239,181970085860.99826,0.51,0.07,0.09,9.70184543672697,0.2243
SDSSJ1627-0053,26915348039.26914,0.5,0.09,0.11,1.3993185898482507,0.0808
SDSSJ2238-0754,74131024130.09161,0.62,0.05,0.06,2.302834919409801,0.1338
SDSSJ2300+0022,147910838816.8207,0.69,0.05,0.05,5.748596303508127,0.1254
SDSSJ2303+1422,281838293126.44495,0.69,0.04,0.05,6.935891696171851,0.2076
SDSSJ2321-0939,158489319246.11108,0.51,0.08,0.1,5.827118466969792,0.1371
SDSSJ1330-0148,251188643150.95822,0.51,0.06,0.06,6.898663928051382,0.2285
SDSSJ1443+0304,295120922666.639,0.32,0.09,0.1,9.104081624128057,0.1553
SDSSJ1251-0208,223872113856.83377,0.67,0.05,0.07,6.541592773727825,0.0819
