PlateIFU,MaNGAID,M*[Msun],Reff[kpc],fDM(Reff)
7443-12705,12-84627,33374758359.682053,8.482,0.878
7495-12703,12-129646,26683183324.228123,5.917,0.514
7815-9101,1-113375,8892177843.486212,4.969,0.834
7815-12704,1-113418,43713068150.889084,5.303,0.028
8341-12701,1-282653,4895283521.2505665,3.129,0.251
8341-3704,1-259250,77656517366.39691,2.53,0.063
8329-1901,1-235530,42831749115.95072,2.471,0.02
8329-12701,1-266039,80536796361.1202,9.528,0.004
8319-1901,1-234388,28409808741.090485,1.906,0.009
8319-6103,1-234632,74145826396.98938,5.612,0.07
8319-3703,1-234362,81786456076.35075,5.614,0.0
8439-12703,1-605884,35884704971.342415,5.748,0.75
8326-3702,1-321069,309091783152.2525,8.001,0.135
8326-12704,1-320642,2086924847.900895,3.286,0.04
8326-12701,1-235398,36444821711.83167,4.592,0.002
8326-6101,1-321074,129270851651.40186,4.585,0.053
7977-1902,1-115128,17731879854.58572,5.452,0.057
7977-12704,1-636015,27290995637.00226,4.846,0.594
7977-12703,1-115162,115090572394.37712,9.911,0.477
7977-3704,1-114956,21077837403.574417,2.597,0.147
7975-9102,1-114500,8181678691.293098,2.886,0.038
7975-12703,1-114325,36983098994.17593,5.999,0.764
8317-12704,1-259142,203985440180.60095,10.546,0.105
8317-12703,1-259108,96165600971.14429,9.493,0.049
8317-6101,1-259195,6785854602.91647,3.201,0.746
8261-3704,1-258685,292088608665.98145,9.795,0.072
8451-3704,1-278485,222242933034.33014,5.498,0.036
8143-6101,1-72322,442122258632.9265,15.336,0.044
8256-3704,1-278485,222667795779.79245,5.544,0.034
8274-12703,1-256456,69330542740.35626,7.068,0.004
8274-3704,1-278485,205515645759.61618,5.548,0.059
8258-12703,1-256574,53071173405.289566,9.755,0.007
8252-3701,1-138034,53515129413.39349,4.245,0.01
8259-6102,1-257627,14509781081.366993,2.844,0.017
8259-3701,1-257999,59618771122.65093,3.128,0.038
8257-9101,1-277271,9047414132.849283,3.072,0.589
8257-3701,1-256185,142741422356.8173,5.332,0.011
8257-12703,1-278153,21108146513.90272,4.039,0.893
8257-6101,1-277272,28281692110.500904,4.591,0.506
8440-12704,1-217018,39190230696.89408,3.557,0.136
8453-12702,1-147537,9043846655.898905,5.008,0.771
8453-3701,1-167380,109021019757.19923,3.935,0.029
8131-3701,1-338090,218977513486.83203,12.399,0.009
8131-6104,1-338359,175789936799.13342,10.761,0.031
8138-12704,1-339041,155038743495.17014,7.884,0.046
8138-6101,1-339010,15650950936.756472,2.81,0.032
8138-12705,1-339042,50586358791.94043,4.429,0.025
8134-12702,1-378164,48774365677.74549,9.714,0.008
8134-3703,1-378123,90220973728.51776,2.849,0.184
8137-1901,1-338677,20312305043.220413,1.974,0.086
8137-3704,1-338828,7459030963.947793,2.557,0.549
8135-12702,1-43012,35720378326.55784,8.023,0.104
8135-3701,1-43241,184903878111.2848,6.457,0.001
8250-1902,1-217324,40883375900.12608,1.718,0.072
8250-6104,1-558926,41906738301.12821,4.883,0.0
8141-1902,1-44526,59769060598.533936,2.295,0.181
8141-12701,1-338771,27901458766.47017,5.478,0.921
8253-12701,1-274706,10691635147.010862,3.951,0.257
8253-3704,1-274637,26619841790.053253,2.942,0.0
8253-9102,1-274593,9641763175.972923,4.527,0.602
8330-12703,1-285737,24734166502.855797,5.447,0.427
8330-3702,1-285729,209950295387.14587,7.986,0.038
8332-12702,1-251115,145018891122.65396,10.339,0.003
7962-3703,1-178541,148659172155.51236,4.239,0.006
8448-1902,1-488464,20557896725.01393,2.046,0.019
8335-12701,1-251762,52313114880.56182,7.693,0.001
8482-3703,1-542327,235395312308.90646,6.71,0.139
7957-12703,1-547210,193592362606.10263,9.7,0.008
8330-3701,1-402454,112796792451.96521,5.49,0.059
8551-12703,1-247858,5219118648.818285,3.302,0.361
8313-12704,1-569216,141638301454.61362,6.764,0.107
8332-3704,1-251198,11651686473.28318,2.296,0.039
8484-1901,1-94029,33809232344.13581,2.018,0.03
8482-3704,1-93612,86138556573.24814,4.557,0.002
