GalaxyName,M*[Msun],Reff[kpc],fDM(Reff)
J001006.62-002609.6,18844353652.002617,3.82,0.3307343775415072
J001708.77-005728.9,6717091217.941339,5.11,0.8344709628082292
J001947.33+003526.7,5904474428.177413,1.83,0.03966136853104965
J002025.78+004934.9,16872570289.559023,9.15,0.7474251494711052
J003112.09-002426.4,15107104941.530056,3.11,0.5914398312883656
J004239.34+001638.7,48661024253.806114,9.45,0.8014504752315895
J004935.68+010655.5,33356559213.111526,13.08,0.8638385615454628
J005513.63-010433.8,58503418812.40644,10.39,0.715433647207894
J005650.61+002047.1,44790018935.48657,6.39,0.8188110857191903
J011341.82-000609.9,19018718309.53341,4.12,0.7461978495073985
J011520.86+001533.5,36239420644.82423,9.68,0.8222652722337541
J011605.60-000053.6,59591078574.04029,8.89,0.7747276577770604
J012000.48-002826.9,40848982764.12011,6.19,0.7293378111665402
J012223.78-005230.7,135263694741.06111,18.56,0.8132208777479059
J012317.00-005421.7,19732460678.579227,4.33,0.6741805575549952
J012340.13+004056.5,23723635681.342297,5.9,0.7359147445172146
J012438.08-000346.4,20662422899.832115,6.69,0.7460118418488052
J013142.14-005559.9,67170912179.41339,13.9,0.7950724543803686
J013600.15+003948.6,30987122287.615208,6.15,0.6645737272798565
J013752.69+010234.8,52866583620.78641,8.18,0.8189964946978315
J014121.94+002215.7,18844353652.002617,3.27,0.6768147767954452
J015746.24-011229.9,85345621638.39955,7.19,0.7357454766318864
J015840.93+003145.2,47772860466.41982,9.46,0.6976485129890523
J015946.76-001657.7,46900907495.088295,7.63,0.7521276457596262
J020004.87-001644.8,19915042889.250755,5.7,0.7289745904584708
J020045.13-101451.3,1510710494.1529992,3.97,0.8576131636528102
J020447.19+005006.3,2507155357.024849,3.52,0.7391606999586632
J020540.31-004141.4,53849446791.97599,16.34,0.826058271672483
J020853.01+004712.6,68419712673.689735,9.58,0.7221766872592529
J021112.60-004933.1,46470917390.59416,6.09,0.6481891805026999
J021859.65+001948.0,25537668551.792614,5.14,0.7077977242625136
J021941.13-001520.4,28001496747.37205,4.77,-0.19270502916289786
J022606.71-001954.9,62976895229.97281,11.28,0.8015228170319473
J022751.44+003005.5,86135314952.56374,15.5,0.7944169893469135
J022820.86+004114.0,40103404803.1338,6.79,0.7156323688341988
J023301.24+002515.0,24388284131.23465,3.87,0.589293504663855
J023437.74-005847.3,53849446791.97599,12.97,0.8607447240757706
J023610.91-005833.8,75714881337.6233,9.18,0.6939882743734161
J024331.30+001824.5,86135314952.56374,9.72,0.6866274646707082
J024459.89+010318.5,21836410303.31979,5.53,0.7391042548725005
J024527.56+005451.6,41608422054.30372,5.48,0.5181937972610308
J024727.83-001706.4,49565700238.81933,4.68,0.5108012208987561
J024728.01+003906.9,43169920218.68917,5.12,0.528829387033001
J024744.89+002451.0,27490411833.213238,8.46,0.8007675038064579
J024850.79-004602.6,46900907495.088295,6.51,0.5973240173118939
J024935.34-004325.5,6014246803.527283,3.64,0.6439033149428767
J024949.33-004736.6,47334876249.03342,7.56,0.7359150389174904
J025154.59+003953.3,28522083439.498478,8.31,0.8096781918241873
J025627.12+005232.6,28001496747.37205,9.59,0.7458117757334948
J032019.21+003005.4,1538796699.1872275,2.83,0.8313642005342096
J032257.99+000314.9,23290630531.11335,5.62,0.7746825629602373
J033329.46-073308.4,3274773339.3696485,3.63,0.7883050013385529
J033331.54+004157.4,45204455878.069115,9.31,0.8368355211253875
J033607.78-003547.2,13777843457.96261,2.11,0.5374750545642183
J080046.85+353146.0,2124130749.9809108,2.67,0.7856085747811459
J080126.42+441137.0,52866583620.78641,7.41,0.7464725907226382
J080658.75+463346.8,19372302681.917843,6.27,0.746984149395481
J080927.22+435605.6,13905328273.861513,4.64,0.7910475755790338
J082949.87+484647.9,28260591406.75211,6.7,0.5278832476841555
J082956.27+515824.1,3274773339.3696485,5.34,0.8051077034039275
J084408.09+504422.9,5638729303.262592,4.36,0.6994776976636721
J084523.21+550707.4,38652825495.40129,4.82,0.7366134350174732
J085214.30+525323.8,40103404803.1338,8.94,0.7850388947605603
J085705.72+514850.7,2905234856.0834155,8.08,0.931183869402927
J094949.62+010533.2,14968602170.915318,7.15,0.7735195716089814
J095555.07-001125.0,4316992021.8689165,1.87,0.6341572578272378
J095743.26+004123.6,41993420043.40292,7.3,0.6507751888367895
J100230.82+001826.2,35577976674.29221,3.99,0.712262685296793
J100524.08+003238.1,26496056796.22687,5.13,0.7338911964602377
J103918.25-001344.8,2553766855.179261,2.94,0.7017544871023587
J105422.24-002153.9,85345621638.39955,10.95,0.7474150301509135
J111559.50-002059.0,14294904096.328514,3.62,0.6621049334214623
J112346.06-010559.4,61260599997.048775,7.0,0.718730154564586
J115731.83-011510.5,12111034632.9202,6.42,0.746648982756237
J120155.64-010409.3,22655896189.15551,5.75,0.7423333131438752
J120430.82+022036.1,2143785089.822464,4.03,0.8373721170382082
J123058.64+513636.2,3156321590.2744575,4.08,0.6653801129646991
J124428.85-002710.5,8301971651.027235,2.82,0.7496424262218127
J124545.20+535702.0,2959247204.681216,4.58,0.8196335880112698
J124752.98-011109.0,12565542576.610832,8.16,0.823153263052847
J125715.15-003927.5,9444549476.341202,2.53,0.5613424280955889
J125854.66-005821.9,32150019897.82844,4.5,0.633982630071738
J130004.72+002710.6,4084898276.412011,1.62,0.5523492574625952
J132123.08+002032.7,39371435173.57429,5.72,0.7250656320606164
J132903.23-000236.9,8150443591.406228,3.36,0.6375661556840171
J133706.48+002204.6,34928605416.79929,6.22,0.7624131077860645
J133832.17+003225.0,19551552391.67674,4.77,0.6372443650114608
J133839.73+003245.0,2484169618.549255,6.49,0.9246667432176756
J134158.85+021844.5,2577396568.9566345,2.21,0.5017856097021137
J135102.22-000915.1,19551552391.67674,7.11,0.8376983678165172
J135433.67-004635.0,12111034632.9202,3.39,0.6550603155290892
J135946.01+010432.8,54850582753.78502,8.66,0.6447931304775175
J140311.79-005829.4,14695394391.180616,7.3,0.8542298151330248
J140452.62-003640.5,28260591406.75211,8.62,0.7846301485508352
J140525.26-004840.9,70987396101.05692,7.7,0.6906137104734402
J141026.83-004956.6,26496056796.22687,3.06,0.31338988421222236
J141057.69+010208.6,15530350097.399899,3.89,0.6270264181498322
J141413.17-005339.8,69052792480.4588,10.32,0.7887552576486029
J141628.95-004438.0,46900907495.088295,9.42,0.7736898767610717
J142729.65+010321.0,4690090749.50883,3.86,0.7293721318477621
J143842.98-000027.9,29592472046.812157,4.51,0.6258563767520106
J144307.79+010600.0,17186254791.282543,5.07,0.7117283837079549
J144503.29+003137.1,17667750029.192596,7.85,0.7946142347091594
J145025.02-011026.5,62399519584.02207,8.94,0.7281595859740931
J150546.86-004253.6,24388284131.23465,7.85,0.7652735486156201
J152137.86+002757.6,21241307499.809105,7.01,0.6290619451717268
J153045.16-002211.5,39010475686.25217,5.66,0.5941831415583173
J155452.40+475250.9,2674122179.124369,3.08,0.7204201237718404
J162300.40+455207.9,1496860217.091532,4.2,0.8059151226061394
J170310.47+653417.6,2601244925.7836356,4.32,0.7507009923499617
J172538.41+592648.3,2774477748.210718,3.98,0.7661167623823413
J203523.80-061437.9,35577976674.29221,17.74,0.9308236845322059
J203755.29-061800.2,46044869459.0736,6.49,0.6903714850587414
J203907.00+003316.2,46900907495.088295,4.89,0.1974293873169457
J204036.79-044133.8,3429108652.0499463,2.23,0.18556403537337962
J204256.27-065126.1,8693231520.89987,4.08,0.6498927302500628
J204913.40+001931.0,9102930900.350222,3.19,0.6883382495156396
J205103.70+000825.5,5142582244.76927,4.4,0.7931848948710886
J205212.77-054754.0,10548270201.970633,5.85,0.7097367227777281
J205235.43-054240.0,73651440619.77534,9.15,0.7922749165048613
J205307.50-002407.0,6905279248.04588,5.92,0.7951621059278667
J205404.34+004638.6,47334876249.03342,9.7,0.7638208263519045
J205432.43+000231.6,40103404803.1338,8.0,0.773538969677823
J205528.79-071951.3,5743561107.871656,2.37,0.04778210096766985
J205532.62+000635.6,6239951958.402207,4.68,0.6867320683185151
J205755.40+000711.5,8613531495.256372,2.06,0.45468376397320875
J210039.64-001236.6,5535810894.724571,5.28,0.7734941235817477
J210633.54+104504.1,10166728969.687176,5.75,0.6554491048707147
J211222.69-074913.9,2350613608.2071867,4.73,0.7949318958757856
J211343.93+003428.7,97091507901.40614,12.74,0.7758708126883633
J211439.91-075806.9,12681810110.563927,6.19,0.6202387572637802
J211450.23-072743.3,41226953747.985085,8.64,0.770542600317072
J211522.10-074605.0,3460837803.7519197,2.0,-0.2560492727862519
J211627.63-004935.3,42381980375.03501,11.45,0.8902585630738549
J211816.06-073507.8,60698959440.37377,7.44,0.6440448083885858
J211900.28-005750.0,8613531495.256372,1.7,0.540028691176108
J213014.23-080401.1,56387293032.62592,11.9,0.7196256236076571
J213058.11-070507.9,22038460120.180214,5.67,0.6443310341989138
J213703.87-073518.0,11147596641.359234,3.52,0.6058009472257793
J213811.68+121139.1,12223096656.64943,3.37,0.17068584089101554
J215156.74+121411.3,8534562163.839954,4.49,0.6984135606822908
J215226.03-081024.9,43569366572.41221,3.89,0.3248631839724583
J215247.62+122942.8,7433292900.921404,4.49,0.7566366055586793
J215326.90+002218.0,8854850761.549217,8.25,0.8677923693330959
J215421.67-075605.7,7712252607.804233,2.3,0.5477431601706368
J215652.70+121857.5,32447500369.306152,8.48,0.7417206353727973
J215837.69+114913.2,48661024253.806114,9.51,0.7255976829326362
J232021.17-001819.2,3623942064.482423,5.08,0.8884484065993622
J232238.68-005903.7,28522083439.498478,7.74,0.7007111697400153
J232613.88+010828.2,22865528615.559025,5.98,0.6716593003021731
J232631.10+005013.5,17831227707.444107,4.02,0.6176615042679027
J233152.99-004934.4,4520445587.806892,6.48,0.7671738220504513
J233259.33+004318.8,2163621289.0314837,3.74,0.7991405478595532
J234107.77-010215.2,80016812305.63463,3.65,-0.05330309317547823
J234215.64-003745.9,14427173215.408957,3.84,0.6471505449000574
J234328.26-000148.6,22448185684.389618,5.87,0.7650507356827755
J234504.86-001615.1,10166728969.687176,7.19,0.7644959191951751
J235106.25+010324.0,66555085554.94925,13.95,0.7722576827319341
J235603.89-000958.6,8456316827.605777,5.57,0.668097947878927
J235607.82+003258.1,21836410303.31979,4.12,0.7882965943067294
J235624.68-001739.6,3366520365.542059,3.32,0.7353969169013703
J235743.74+003918.6,16412745907.150227,4.8,0.7172043943350638
