GalaxyName,M*[Msun],Reff[kpc],fDM(Reff)
J001006.61-002609.7,9640777947.446981,2.42,0.04803774669219676
J001708.75-005728.9,4572672312.566047,3.13,0.7297826975721683
J002844.82+160058.8,29076228959.2936,6.08,0.0958516236637017
J003112.09-002426.4,15289035182.082481,2.0,0.1484519704916639
J004916.23+154821.0,7487762831.290361,5.65,0.7537088110485284
J004935.71+010655.2,37238491522.929504,5.4,-0.07458777051287963
J011750.26+133026.3,3799899233.2228575,3.83,0.5095531336512114
J012317.00-005421.6,17058470156.322557,2.33,0.1718283792093298
J012340.12+004056.4,21414112504.81672,3.01,0.3738637831919411
J012438.08-000346.5,17909690467.8981,3.61,0.297305635857742
J013017.16+143918.5,5140437463.065247,2.66,0.5564040274946374
J013600.15+003948.7,29475968248.45487,4.0,0.41269673982731064
J015946.76-001657.6,34276942821.70388,4.9,0.6626611679322018
J020004.86-001644.8,15492377828.520216,3.23,0.4758462385495352
J020045.13-101451.3,837479297.4086587,2.36,0.6585860486570398
J020056.00+133116.6,2502234916.6766505,2.51,0.6906066161115207
J020133.02+133126.4,25422255550.003952,3.16,0.39702546722784626
J020447.17+005006.3,1340466855.4381917,2.0,0.44385459966803303
J020526.65+131938.4,8704464933.263287,3.89,0.7039291886982518
J020540.31-004141.4,82497365532.38422,6.4,0.31224427393834714
J020819.43+134944.6,18284962754.011272,5.59,0.3663992469730989
J020853.01+004712.6,50060833938.56611,6.33,0.621576313288636
J020923.14+125029.8,33735727501.30923,3.23,0.23404687412137012
J021112.46-004933.4,38468041865.78929,4.13,0.6146300465082117
J021130.38+125537.7,43565236903.60606,4.74,0.5173181343426637
J021219.38+133645.7,18456531150.936954,2.94,0.4721809544026961
J021859.64+001948.0,32254779701.312355,2.95,0.06679813184714012
J021941.13-001520.4,19064441195.045082,1.95,-1.2837388495260593
J022820.86+004114.0,24621362371.110226,4.92,0.6817587001420448
J024459.90+010318.5,17625606904.37794,3.02,0.17497542334167845
J024728.01+003906.9,31374591504.02972,3.16,0.26953027973322136
J024744.89+002450.9,32135427373.59001,4.81,0.5082012373967721
J024850.80-004602.6,44205069735.82059,3.71,0.26170055951251164
J024935.35-004325.4,7474464439.424127,2.13,-0.36331452819844495
J025154.59+003953.3,27574273571.871212,4.28,0.5840501483467234
J025627.13+005232.6,20674741111.148106,5.8,0.5928378869267402
J032019.19+003005.6,760483997.8394033,1.99,0.7375221796737621
J033329.46-073308.4,1616620493.8233187,2.14,0.4993361248117301
J040957.58-050631.5,11042161126.02213,4.07,0.5541506558453209
J072022.94+411640.2,7701974564.175109,2.99,0.5062385570301081
J073058.69+461208.4,45452322556.69592,6.24,0.37823386134314024
J073647.96+270247.3,3954959859.53829,2.52,0.4385408629762987
J073855.29+271022.2,30251023991.798584,5.04,0.5886365999125912
J074712.83+464141.9,10750089500.93769,4.22,0.5913316775068569
J074904.01+192417.0,7139932072.501082,4.2,0.6147473280494169
J075112.41+255224.3,3797834890.612242,4.78,0.7850552233080643
J075150.62+272733.3,2688648818.8820243,2.07,0.5286200821365128
J075657.60+173932.5,2169472153.3122272,2.13,0.4776257968516057
J080046.82+353145.8,1219820927.7724602,1.79,0.4393940028079713
J080126.43+441137.0,48883250876.94424,4.28,0.45308479004027225
J080627.40+505717.5,9177113015.18947,4.1,0.6819026734780442
J080658.75+463346.7,20816230107.07802,3.17,-0.7493524807924222
J080838.45+261613.2,5139017303.915639,3.84,0.6456318742900251
J080859.51+165655.3,22991223327.791607,4.96,0.46031493862678746
J080927.23+435605.7,14888676031.207932,2.29,0.3282413868553146
J082203.50+420136.5,4471117467.52447,2.86,0.5992794269155498
J082956.26+515824.4,1533451624.8439765,3.15,0.7159463497713605
J084408.10+504423.1,4111005710.307245,2.53,0.4993240179084944
J084523.19+550707.7,39489176763.190956,3.18,0.49399117847157015
J084558.38+265241.9,4375403199.34465,3.65,0.5296741237974292
J085705.71+514850.8,1646220782.300183,2.6,0.659758220835139
J085733.32+155102.4,6240912304.292747,3.02,0.34468729114221264
J090036.50+454024.1,5388303876.493975,3.94,0.7246388596617842
J090626.08+132646.2,8606331692.979446,4.43,0.6872844012053081
J090814.19+420601.7,14909740338.222763,2.72,0.00182458189791978
J092151.46+220208.2,10998262476.60245,5.11,0.4267968317161584
J092636.90+502653.9,7999633308.586236,4.13,0.6613321268471373
J093159.90+404531.7,7663975011.130805,3.3,0.45472638719227776
J093724.52+483056.0,4418186863.342899,2.34,0.5121360906590797
J094421.14+261547.7,3430505184.6515245,2.78,0.6874403992029159
J094949.60+010533.2,9256441910.451023,4.32,0.6336435697654443
J095350.57+123147.7,5699701083.545749,3.84,0.6194601094755839
J095428.31+590638.7,8361420791.885435,5.69,0.8007717787443577
J095743.25+004123.7,30418660097.39632,4.32,0.4245667122681717
J100049.20+025252.8,6741772294.963871,3.73,0.6554582807244616
J100313.88+022030.6,2708694837.5400696,2.17,0.35349712881972867
J101307.05+162827.6,21565725850.107307,3.17,0.06592213599307535
J102936.42+445934.8,9183031626.334444,5.09,0.7120887092094739
J102956.45+420716.9,4006545508.2509594,2.69,0.5730020705514739
J103918.25-001344.7,2394087835.782192,1.97,0.1858303250828209
J104034.74+145716.4,5267033492.867624,2.82,0.4509633668135813
J104752.65+180351.4,8624264747.862116,4.51,0.6833708705544183
J104812.64+483017.7,19273299934.71148,5.17,0.675761673890386
J105352.48+412542.8,6441515854.058926,2.86,0.5993228347807182
J105733.58+195154.2,23791075764.01289,3.97,0.49489847382542834
J110032.37+374924.7,14893476346.973532,4.14,0.23075475761835904
J110148.85+444849.7,6446946704.799482,2.56,0.5183690758993172
J112125.55+423435.5,5522682547.740575,3.66,0.5827239412460979
J113113.45+403911.2,18160093491.912117,4.14,0.662487643970729
J113249.79+490601.6,13649353451.942774,3.48,0.35446150221668227
J115045.79+112228.5,11159740090.363884,3.93,0.541732959781073
J115511.26+504128.7,12534877094.687258,4.33,0.4816751663394195
J115731.82-011510.5,9736213304.968845,3.44,0.33502041167441243
J120430.82+022036.1,1315637003.8472502,2.21,0.7245757253018584
J120626.62+245925.0,6373765484.083741,3.35,-0.11144649699411181
J122412.16+585013.9,32427097698.02012,8.69,0.7791794578848367
J122506.23+112418.2,10111884026.454107,4.01,0.5601820742411687
J123058.68+513636.0,2055181017.85376,2.37,0.6068330547154597
J124021.40+484805.3,8062840711.747859,1.44,-0.2077474218965123
