GalaxyName,M*[Msun],Reff[kpc],fDM(Reff),ErrorfDM,QualityFlag
CamB,37500000.0,1.21,0.11050306750561195,0.18353385718700158,2.0
D512-2,162500000.0,2.37,0.7847963183317415,0.04055601366702942,2.0
D564-8,16500000.0,0.72,0.6207372470008719,0.11547592263064112,2.0
D631-7,98000000.0,1.22,0.20371433104238346,0.16291231429593117,1.0
DDO064,78500000.0,1.2,0.7934430115209132,0.06294311456678117,1.0
DDO154,26500000.0,0.65,0.5687413063574672,0.08252138343575789,2.0
DDO161,274000000.0,2.04,0.3873212411617462,0.09876861233057625,1.0
DDO168,95500000.0,1.29,0.4175413553922822,0.0576964771908908,2.0
DDO170,271500000.0,3.03,0.7476923850261459,0.027988758896672322,2.0
ESO079-G014,25866500000.0,7.23,0.7211869662903398,0.019889104921854254,1.0
ESO116-G012,2146000000.0,2.75,0.6885395312265797,0.02279726005383315,1.0
ESO444-G084,35500000.0,0.75,0.8063009698528364,0.03309749662614075,2.0
ESO563-G021,155588500000.0,10.59,0.5996262280026768,0.024141722132836357,1.0
F561-1,2038500000.0,5.39,0.47985992330232663,0.11103477403454241,3.0
F563-1,951500000.0,4.61,0.926266540826875,0.027311731350129285,1.0
F563-V1,770000000.0,5.01,0.366756378509729,0.21572168430978472,3.0
F563-V2,1493000000.0,4.49,0.9014067105170098,0.017384994773735583,1.0
F565-V2,279500000.0,3.57,0.8727198298653214,0.03767244148073568,2.0
F567-2,1067000000.0,5.43,0.7491714871269589,0.05287735202255116,3.0
F568-1,3126000000.0,7.0,0.888810930287277,0.02189526130391152,1.0
F568-3,4173000000.0,7.47,0.79871168404333,0.06803171939100908,1.0
F568-V1,1912500000.0,4.4,0.8970920920776684,0.023892628724050156,1.0
F571-V1,924500000.0,4.38,0.756831765783377,0.07690312231501048,2.0
F574-1,3268500000.0,5.87,0.8396741674674696,0.015896500885094953,1.0
F574-2,1438500000.0,6.48,0.08782955406688558,0.4877530705970179,3.0
F579-V1,5924000000.0,5.76,0.7780950854980894,0.039146634185316075,1.0
F583-1,493000000.0,3.74,0.9070504770941783,0.02615342472053825,1.0
F583-4,857500000.0,3.31,0.7240747111345825,0.06676852525728616,1.0
IC2574,508000000.0,3.18,0.7585325027257105,0.044078393545251233,2.0
IC4202,89874500000.0,8.55,0.4883571324819012,0.02438404096242647,1.0
KK98-251,42500000.0,1.28,0.5365886943382228,0.09180250498866639,2.0
NGC0024,1944500000.0,2.01,0.7488928663132111,0.04408321042763569,1.0
NGC0055,2314000000.0,3.67,0.5211057861233752,0.07379571424331852,2.0
NGC0100,1616000000.0,2.81,0.6062769288932691,0.05303389562799593,1.0
NGC0247,3666000000.0,5.87,0.7443592363248271,0.024341244315517537,2.0
NGC0289,36032500000.0,2.69,0.3032136540765377,0.22409235542971506,2.0
NGC0300,1461000000.0,1.77,0.6938472328505063,0.05133277411697923,2.0
NGC0801,156285000000.0,7.76,0.29908292954381377,0.030035345372095876,1.0
NGC1003,3410000000.0,2.76,0.4247433533970926,0.06436440760177345,1.0
NGC1090,36022500000.0,6.36,0.4966965188831764,0.039547711762673514,1.0
NGC1705,266500000.0,0.49,0.7224106900040894,0.0721650675544518,3.0
NGC2366,118000000.0,1.08,0.4734676746239785,0.09355381110388321,3.0
NGC2403,5020500000.0,2.16,0.4182422603498893,0.023892464689148456,1.0
NGC2683,40207500000.0,3.34,0.27211527774901956,0.07099978322400924,2.0
NGC2841,94060500000.0,5.51,0.5091587922881067,0.02805255365548879,1.0
NGC2903,40931500000.0,4.54,0.1439744897531578,0.01823320077315038,1.0
NGC2955,159711000000.0,7.22,0.045392063319754226,0.05203564978935582,1.0
NGC2976,1685500000.0,1.31,0.4496880961844724,0.047710900491594654,2.0
NGC2998,75451000000.0,7.06,0.4289366898036038,0.05879255046006677,1.0
NGC3109,97000000.0,1.64,0.811227684587009,0.02189198404354847,1.0
NGC3198,19139500000.0,5.84,0.5001983197274127,0.009081143501298117,1.0
NGC3521,42418000000.0,2.45,0.17606274301546324,0.07678304023556491,1.0
NGC3726,35117000000.0,7.52,0.27896475877574634,0.044743693548682933,2.0
NGC3741,14000000.0,0.32,0.5841420061159097,0.13039511259684336,1.0
NGC3877,36267500000.0,4.39,0.5471510380918638,0.03652716045849527,2.0
NGC3893,29262500000.0,2.43,0.1090758758546374,0.07901678342249113,1.0
NGC3917,10983000000.0,5.56,0.6331570752449345,0.022675563969846473,1.0
NGC3949,19033500000.0,2.39,0.16957080003954642,0.0659209575417104,2.0
NGC3953,70650500000.0,6.17,0.4286115801326432,0.03292699285131054,1.0
NGC3972,7176500000.0,3.73,0.6492867772858624,0.03426890874910296,1.0
NGC3992,113466000000.0,9.99,0.6045159463843833,0.021835363436536873,1.0
NGC4010,8596500000.0,6.63,0.6174866721240329,0.03213051931901695,2.0
NGC4013,39547000000.0,4.11,0.0,0.0,2.0
NGC4051,47634000000.0,6.87,0.349940969061318,0.054278962760518024,2.0
NGC4068,118000000.0,1.11,0.4404803737859513,0.11603173782170442,2.0
NGC4100,29697000000.0,4.93,0.5379834587630338,0.03198021023696696,1.0
NGC4138,22055500000.0,1.91,0.0,0.0,2.0
NGC4157,52810000000.0,4.44,0.08503846795157846,0.10214602784517009,1.0
NGC4183,5419000000.0,4.47,0.7330086492316775,0.028645827485543552,1.0
NGC4214,570500000.0,0.7,0.6052672876172226,0.07067805684882629,2.0
NGC4559,9688500000.0,3.82,0.35683004637031257,0.06292929340811211,1.0
NGC5005,89360000000.0,3.97,0.115129131979793,0.1551562555301178,1.0
NGC5371,170196500000.0,9.8,0.31423596436018525,0.01821397830944108,1.0
NGC5585,1471500000.0,2.27,0.5116116215230103,0.025181745537566396,1.0
NGC5907,87712500000.0,7.88,0.5526599493082962,0.023147097485908357,1.0
NGC5985,104364000000.0,10.71,0.7349685336358974,0.018155617960892875,1.0
NGC6015,16064499999.999998,3.92,0.5532802864394988,0.006572810619056164,2.0
NGC6195,195538000000.0,9.52,0.13530139999333746,0.055305025176484675,1.0
NGC6503,6422500000.0,1.62,0.2245708443225315,0.0704377569612381,1.0
NGC6674,107327000000.0,7.75,0.6219839912404725,0.021067980044482806,1.0
NGC6789,50000000.0,0.52,0.8506517852436464,0.026910448037143892,2.0
NGC6946,33086500000.0,4.2,0.2339297361424324,0.011955799224387467,1.0
NGC7793,3525000000.0,2.19,0.4067102352034507,0.06930459745927217,1.0
PGC51017,77500000.0,1.28,0.13852085017961008,0.1543271240458752,3.0
UGC00128,6010000000.0,9.63,0.8744081889354217,0.0026812083718509836,1.0
UGC00191,1002000000.0,2.5,0.819844025504007,0.03456576360974795,1.0
UGC00634,1494500000.0,4.26,0.0,0.0,2.0
UGC00731,161500000.0,1.4,0.9573992066229036,0.00544811039206593,1.0
UGC00891,187000000.0,1.76,0.5825290326383292,0.09087277751569732,2.0
UGC01230,3810000000.0,6.45,0.844515902395479,0.03149355275974865,1.0
UGC01281,176500000.0,2.01,0.7974911584975046,0.055232268512931934,1.0
UGC02023,654000000.0,2.73,0.5369112315830659,0.1904643411059199,2.0
UGC02259,862500000.0,2.4,0.8531086877034657,0.009751271647423777,2.0
UGC02487,244977500000.0,9.63,0.0,0.0,1.0
UGC02885,201762500000.0,12.2,0.41391376060542245,0.0439042490044702,1.0
UGC02953,129758999999.99998,5.03,0.2842249616864955,0.03349298607258999,2.0
UGC03205,56821000000.0,5.35,0.5077257921298477,0.024290773892895256,1.0
UGC04278,653500000.0,2.46,0.7393043262294614,0.046051722092234695,1.0
UGC04305,368000000.0,1.23,0.4371868709014365,0.2064735390271132,3.0
UGC04325,1012999999.9999999,2.79,0.8093451000230055,0.013111554564370534,1.0
UGC04483,6500000.0,0.26,0.5095271736301978,0.16854775165978403,2.0
UGC04499,776000000.0,2.69,0.7177221217336285,0.029841044689899253,1.0
UGC05005,2049999999.9999998,5.02,0.6315270177049894,0.10644768786676392,1.0
UGC05253,85791000000.0,4.28,0.12198569400114075,0.07897073300731611,2.0
UGC05414,561500000.0,2.33,0.6283618164121991,0.037899898481433526,1.0
UGC05716,294000000.0,1.84,0.8236270393260297,0.016859116930506773,2.0
UGC05721,265500000.0,0.6,0.6635337744675521,0.057178458727383696,1.0
UGC05750,1668000000.0,8.8,0.7561190917094927,0.08351450060646151,1.0
UGC05764,42500000.0,1.2,0.9088745894315629,0.003957804073168191,2.0
UGC05829,282000000.0,2.91,0.8391892157484901,0.039164149746867216,2.0
UGC05918,116500000.0,2.63,0.8288295712338613,0.034627130877041494,2.0
UGC05986,2347500000.0,3.12,0.7151555128032651,0.012075716249335615,2.0
UGC05999,1692000000.0,4.83,0.6554733966792032,0.06713454844460234,2.0
UGC06399,1148000000.0,3.45,0.77584813150249,0.0260634660058617,1.0
UGC06446,494000000.0,2.06,0.8625986630448513,0.01800155312934859,1.0
UGC06628,1869500000.0,4.14,0.28360634239159865,0.2874575384583092,2.0
UGC06667,698500000.0,3.5,0.9169789421737473,0.0071879703745673295,1.0
UGC06786,36703500000.0,3.42,0.406343673855964,0.048407865462973015,1.0
UGC06818,794000000.0,2.12,0.16275077372314845,0.2708734971934212,2.0
UGC06917,3416000000.0,4.52,0.7440216753822853,0.023578190213359752,1.0
