Name,Mstellar[Msun],Reff[kpc],fDM(Reff),Redshift
SDSSJ0959+0410,81283051616.40996,2.304211721990216,0.09,0.126
SDSSJ1204+0358,158489319246.11108,4.624767338902583,0.19,0.1644
SDSSJ1630+4520,407380277804.1122,5.276918440045605,0.25,0.1371
SDSSJ0252+0039,162181009735.8933,5.560009301954817,0.12,0.2803
SDSSJ1250+0523,338844156139.202,6.09714702068444,0.36,0.2318
SDSSJ0728+3835,275422870333.81635,6.228104199529133,0.16,0.2058
SDSSJ2300+0022,251188643150.95822,6.329036826104875,0.16,0.2
SDSSJ1636+4707,239883291901.9495,6.747873459678675,0.39,0.2285
SDSSJ2238-0754,158489319246.11108,7.022355643001216,0.17,0.1553
SDSSJ1313+4615,213796208950.22324,7.315822137701871,0.26,0.2
SDSSJ0330-0020,223872113856.83377,7.389812781493668,0.22,0.3507
SDSSJ1112+0826,301995172040.2019,7.733854059833586,0.15,0.273
SDSSJ1306+0600,154881661891.24796,7.826228333355489,0.32,0.2
SDSSJ0029-0055,213796208950.22324,9.077521638848257,0.21,0.227
SDSSJ0037-0942,301995172040.2019,9.3589952643847,0.17,0.1955
SDSSJ1621+3931,281838293126.44495,9.774895778460111,0.3,0.2479
SDSSJ1627-0053,281838293126.44495,10.39422339330589,0.23,0.2282
SDSSJ2303+1422,295120922666.639,11.841423739163957,0.25,0.2
SDSSJ1402+6321,354813389233.57605,11.99014402983487,0.3,0.2449
SDSSJ1531-0105,269153480392.6914,12.015206322156287,0.24,0.2076
SDSSJ0737+3216,524807460249.7734,16.82351790359256,0.47,0.3223
SDSSJ0903+4116,389045144994.28046,20.407921317442373,0.56,0.4304
