GalaxyName,M*[Msun],fDM(Reff),ErrorfDM,Reff[kpc]
NGC0680,123026877081.23811,0.21,0.1,2.64
NGC1023,104712854805.08986,0.12,0.04,2.58
NGC2685,30199517204.02019,0.13,0.04,2.08
NGC2764,45708818961.48752,0.31,0.1,2.36
NGC3522,9772372209.558111,0.16,0.13,1.26
NGC3998,53703179637.02532,0.05,0.06,1.33
NGC4203,58884365535.55884,0.04,0.05,2.1
NGC5582,50118723362.72715,0.23,0.08,3.69
NGC5631,77624711662.86928,0.2,0.15,2.74
NGC6798,63095734448.019424,0.23,0.06,3.07
UGC03960,12302687708.123812,0.41,0.15,2.8
