Name,MType,logMstellarChabrierIMF,logMstellarSalpeterIMF
"SDSSJ0008-0004","E",11.38,11.64
"SDSSJ0029-0055","E",11.33,11.58
"SDSSJ0037-0942","E",11.48,11.73
"SDSSJ0044+0113","E",11.23,11.47
"SDSSJ0157-0056","E",11.5,11.74
"SDSSJ0216-0813","E",11.79,12.03
"SDSSJ0252+0039","E",11.21,11.46
"SDSSJ0330-0020","E",11.35,11.58
"SDSSJ0728+3835","E",11.44,11.69
"SDSSJ0737+3216","E",11.72,11.96
"SDSSJ0808+4706","E",11.26,11.51
"SDSSJ0819+4534","E",11.15,11.4
"SDSSJ0822+2652","E",11.43,11.69
"SDSSJ0841+3824","S",11.41,11.65
"SDSSJ0903+4116","E",11.59,11.84
"SDSSJ0912+0029","E/S0",11.71,11.96
"SDSSJ0935-0003","E",11.72,11.96
"SDSSJ0936+0913","E",11.43,11.68
"SDSSJ0946+1006","E",11.34,11.59
"SDSSJ0955+0101","S",10.77,11.02
"SDSSJ0956+5100","E",11.56,11.81
"SDSSJ0959+4416","S0",11.47,11.72
"SDSSJ0959+0410","E",10.91,11.15
"SDSSJ1016+3859","E",11.23,11.48
"SDSSJ1020+1122","E",11.54,11.8
"SDSSJ1023+4230","E",11.33,11.57
"SDSSJ1029+0420","S0",11.04,11.29
"SDSSJ1029+6115","E",11.49,11.73
"SDSSJ1032+5322","S",10.9,11.16
"SDSSJ1100+5329","E",11.59,11.84
"SDSSJ1103+5322","S0/SA",11.29,11.54
"SDSSJ1106+5228","E",11.13,11.37
"SDSSJ1112+0826","E",11.48,11.73
"SDSSJ1134+6027","E",11.26,11.51
"SDSSJ1142+1001","E",11.3,11.55
"SDSSJ1143-0144","E",11.36,11.6
"SDSSJ1153+4612","E",11.08,11.33
"SDSSJ1204+0358","E",11.2,11.45
"SDSSJ1205+4910","E",11.48,11.72
"SDSSJ1213+6708","E",11.24,11.49
"SDSSJ1218+0830","E",11.35,11.59
"SDSSJ1250+0523","E",11.53,11.77
"SDSSJ1250-0135","S0/SA",11.13,11.37
"SDSSJ1251-0208","S",11.26,11.5
"SDSSJ1259+6134","E",11.5,11.75
"SDSSJ1306+0600","E",11.19,11.43
"SDSSJ1313+4615","E",11.33,11.58
"SDSSJ1313+0506","S",10.92,11.16
"SDSSJ1318-0313","E",11.43,11.67
"SDSSJ1319+1504","E/S0",10.94,11.19
"SDSSJ1330-0148","S0",10.43,10.67
"SDSSJ1402+6321","E",11.55,11.79
"SDSSJ1403+0006","E",11.2,11.44
"SDSSJ1416+5136","E",11.4,11.64
"SDSSJ1420+6019","S0",10.93,11.17
"SDSSJ1430+4105","E",11.68,11.93
"SDSSJ1432+6317","S",11.46,11.71
"SDSSJ1436-0000","E",11.45,11.69
"SDSSJ1443+0304","S0",10.87,11.12
"SDSSJ1451-0239","E",11.17,11.39
"SDSSJ1525+3327","E",11.78,12.02
"SDSSJ1531-0105","E",11.43,11.68
"SDSSJ1538+5817","E",11.03,11.28
"SDSSJ1614+4522","E",11.21,11.47
"SDSSJ1618+4353","E",11.14,11.39
"SDSSJ1621+3931","E",11.45,11.7
"SDSSJ1627-0053","E",11.45,11.7
"SDSSJ1630+4520","E",11.61,11.86
"SDSSJ1636+4707","E",11.38,11.63
"SDSSJ1644+2625","E",11.18,11.43
"SDSSJ1718+6424","E",10.89,11.13
"SDSSJ1719+2939","E/S0",11.22,11.46
"SDSSJ2238-0754","E",11.2,11.45
"SDSSJ2300+0022","E",11.4,11.65
"SDSSJ2302-0840","E",11.04,11.27
"SDSSJ2303+1422","E",11.47,11.71
"SDSSJ2321-0939","E",11.35,11.6
"SDSSJ2341+0000","E",11.48,11.73
"SDSSJ2347-0005","E",11.58,11.83
