GalaxyName,Mtot,MsL,fDM_bulge,fDM_Chab,higherror,lowerror,f_DMSalp,higherror,lowerror,v/sigma
SDSSJ0037−0942,11.50,4.85,0.23,0.66,0.04,-0.05,0.40,0.08,-0.09,0.08
SDSSJ0216−0813,11.97,9.80,0.17,0.83,0.03,-0.03,0.70,0.04,-0.05,0.04
SDSSJ0912+0029,11.91,9.00,0.30,0.77,0.03,-0.04,0.59,0.06,-0.07,0.12
SDSSJ0935−0003,11.97,7.17,0.12,0.81,0.03,-0.03,0.67,0.05,-0.06,0.10
SDSSJ0959+0410,10.99,7.63,0.30,0.71,0.04,-0.05,0.49,0.07,-0.08,0.49
SDSSJ1204+0358,11.14,7.55,0.02,0.57,0.06,-0.11,0.23,0.10,-0.11,0.03
SDSSJ1250+0523,11.29,3.55,0.05,0.35,0.10,-0.08,-0.14,0.17,-0.20,0.15
SDSSJ1451−0239,11.11,4.04,0.12,0.51,0.07,-0.09,0.19,0.10,-0.12,0.10
SDSSJ1627−0053,11.37,4.85,0.21,0.50,0.09,-0.11,0.12,0.16,-0.20,0.07
SDSSJ2238−0754,11.16,5.91,0.08,0.62,0.05,-0.06,0.33,0.09,-0.10,0.43
SDSSJ2300+0022,11.44,7.22,0.23,0.69,0.05,-0.05,0.45,0.08,-0.10,0.03
SDSSJ2303+1422,11.51,7.48,0.04,0.69,0.04,-0.05,0.46,0.07,-0.08,0.05
SDSSJ2321−0939,11.27,4.81,0.12,0.51,0.08,-0.10,0.13,0.15,-0.18,0.06
SDSSJ1330−0148,10.29,5.55,0.05,0.51,0.06,-0.06,0.15,0.11,-0.12,0.52
SDSSJ1443+0304,10.62,4.04,0.01,0.32,0.09,-0.10,-0.20,0.16,-0.18,0.36
SDSSJ1251−0208,11.27,3.56,0.46,0.67,0.05,-0.07,0.43,0.10,-0.11,0.82
