ID,RAJ2000,DEJ2000,z,Re,n,Filter,logM,sig_A,e_sig_A,sig_Re,e_sig_Re,tExp,HCat,SimbadName
"C1971 ",150.10358,2.197926,0.682,4.4,4.7,"WFC3-F160W",10.96,214,8,211,8,49200,3,"NMBS C1971"
"C2335 ",150.09659,2.205227,0.424,0.8,2.7,"WFC3-F160W",10.13,131,5,143,6,49200,3,"NMBS C2335"
"C3382 ",150.08405,2.221891,0.56,5.9,1.5,"WFC3-F160W",10.62,158,7,152,7,49200,3,"NMBS C3382"
"C3420 ",150.11856,2.223079,0.839,2.1,3.3,"WFC3-F160W",10.83,245,15,255,16,49200,3,"NMBS C3420"
"C3751 ",150.12094,2.22711,0.733,3.6,2.9,"WFC3-F160W",11.07,171,7,172,7,49200,3,"NMBS C3751"
"C3769 ",150.12079,2.230302,0.732,2.0,0.8,"WFC3-F160W",10.1,153,14,159,15,49200,3,"NMBS C3769"
"C4987 ",150.11649,2.250227,0.747,1.4,4.2,"WFC3-F160W",10.47,236,13,252,14,49200,3,"NMBS C4987"
"C5585 ",150.10436,2.2606,0.642,1.9,1.7,"WFC3-F160W",10.15,133,9,138,9,49200,3,"NMBS C5585"
"C6205 ",150.08572,2.271631,0.728,1.5,4.7,"WFC3-F160W",10.65,225,6,238,7,49200,3,"NMBS C6205"
"C6574 ",150.08334,2.278471,0.835,1.6,1.8,"WFC3-F160W",10.49,241,34,255,36,49200,3,"NMBS C6574"
"C6805 ",150.13537,2.282998,0.668,1.4,2.4,"WFC3-F160W",9.92,108,8,115,8,49200,3,"NMBS C6805"
"C6880 ",150.09802,2.281377,0.75,6.5,4.0,"WFC3-F160W",11.33,214,6,206,5,49200,3,"NMBS C6880"
"C7505 ",150.0994,2.290266,0.361,1.7,3.9,"WFC3-F160W",10.79,181,3,186,3,49200,3,"NMBS C7505"
"C7884 ",150.08927,2.299584,0.533,2.3,5.1,"WFC3-F160W",10.36,155,7,158,8,49200,3,"NMBS C7884"
"C8225 ",150.08767,2.304101,0.533,1.6,4.9,"WFC3-F160W",10.53,243,6,255,6,49200,3,"NMBS C8225"
"C8454 ",150.09834,2.308276,0.687,2.9,1.2,"WFC3-F160W",10.34,158,11,160,11,49200,3,"NMBS C8454"
"C8520 ",150.13779,2.309587,0.461,1.9,1.3,"WFC3-F160W",10.36,157,4,161,4,49200,3,"NMBS C8520"
"C9125 ",150.12595,2.320155,0.677,1.5,4.0,"WFC3-F160W",10.23,181,7,191,7,49200,3,"NMBS C9125"
"C9620 ",150.12045,2.327686,0.884,1.5,6.0,"ACS-F814W ",10.44,185,11,196,12,49200,3,"NMBS C9620"
"C10105",150.09372,2.33396,0.668,2.8,5.2,"WFC3-F160W",10.79,177,5,180,5,49200,3,"NMBS C10105"
"C10458",150.12833,2.340831,1.03,1.3,4.5,"WFC3-F160W",10.5,158,15,171,16,49200,3,"NMBS C10458"
"C11537",150.0963,2.35684,0.53,1.0,2.4,"WFC3-F160W",10.19,202,6,217,7,49200,3,"NMBS C11537"
"C11601",150.13177,2.358689,0.698,1.4,3.2,"WFC3-F160W",10.28,150,8,160,9,49200,3,"NMBS C11601"
"C12669",150.13999,2.376004,0.902,1.2,3.6,"WFC3-F160W",10.54,201,12,217,12,49200,3,"NMBS C12669"
"C13266",150.08997,2.383569,0.531,3.4,3.5,"WFC3-F160W",10.93,251,5,249,4,49200,3,"NMBS C13266"
"C13569",150.11902,2.391341,0.891,5.5,3.0,"WFC3-F160W",11.08,212,10,207,10,49200,3,"NMBS C13569"
"C14061",150.08027,2.402724,0.442,1.0,3.2,"WFC3-F160W",10.51,197,5,211,5,49200,3,"NMBS C14061"
"C14090",150.11359,2.404104,0.726,1.7,2.3,"WFC3-F160W",10.34,179,20,188,21,49200,3,"NMBS C14090"
"C14530",150.0908,2.413304,0.727,3.0,3.2,"WFC3-F160W",10.17,86,10,88,10,49200,3,"NMBS C14530"
"C14670",150.1244,2.41587,0.842,1.4,2.0,"WFC3-F160W",10.75,166,17,178,18,49200,3,"NMBS C14670"
"C15461",150.09759,2.431028,0.892,2.1,4.7,"WFC3-F160W",10.52,165,14,172,15,49200,3,"NMBS C15461"
"C15568",150.12782,2.433395,0.672,1.4,6.0,"ACS-F814W ",10.06,187,9,199,10,49200,3,"NMBS C15568"
"C15873",150.10552,2.439019,0.75,1.4,1.8,"WFC3-F160W",10.56,199,9,212,10,49200,3,"NMBS C15873"
"C16312",150.14167,2.446049,0.898,3.9,5.2,"WFC3-F160W",10.93,210,9,210,9,49200,3,"NMBS C16312"
"C16584",150.15116,2.451274,0.895,3.1,3.8,"WFC3-F160W",10.86,237,22,241,22,49200,3,"NMBS C16584"
"C1750 ",150.0951,2.193742,0.426,3.0,3.2,"WFC3-F160W",10.97,212,4,211,4,49200,3,"NMBS C1750"
"C10997",149.93243,2.346227,0.691,7.9,6.0,"ACS-F814W ",11.3,151,5,144,5,20400,1,"NMBS C10997"
"C11937",149.9247,2.361244,0.732,3.1,4.4,"ACS-F814W ",11.16,217,9,219,9,20400,1,"NMBS C11937"
"C13377",149.89478,2.386454,0.723,2.1,5.4,"ACS-F814W ",11.08,266,8,276,8,20400,1,"NMBS C13377"
"C13869",149.90322,2.398031,0.758,6.4,5.3,"ACS-F814W ",10.94,234,19,226,19,20400,1,"NMBS C13869"
"C14419",149.90152,2.411279,0.676,2.9,5.7,"ACS-F814W ",10.67,145,7,147,7,20400,1,"NMBS C14419"
"C14674",149.90683,2.414327,0.667,3.4,5.6,"ACS-F814W ",10.95,252,6,252,6,20400,1,"NMBS C14674"
"C15009",149.90248,2.423148,0.756,2.1,1.5,"ACS-F814W ",10.38,207,20,215,21,20400,1,"NMBS C15009"
"C15201",149.91027,2.426713,0.569,1.3,2.7,"ACS-F814W ",10.32,194,9,206,10,20400,1,"NMBS C15201"
"C15379",149.91621,2.429866,0.891,3.7,5.5,"ACS-F814W ",10.98,207,12,207,12,20400,1,"NMBS C15379"
"C16015",149.90321,2.438847,0.414,5.2,6.0,"ACS-F814W ",11.06,218,5,209,5,20400,1,"NMBS C16015"
"C16153",149.96394,2.444232,0.886,3.3,4.3,"ACS-F814W ",11.04,225,9,227,10,20400,1,"NMBS C16153"
"C16439",149.96286,2.447496,0.894,9.6,6.0,"ACS-F814W ",11.56,255,11,240,10,20400,1,"NMBS C16439"
"C16582",149.91454,2.450862,0.443,3.6,2.9,"ACS-F814W ",10.75,156,5,154,5,20400,1,"NMBS C16582"
"C16794",149.93109,2.455498,0.547,2.3,0.9,"ACS-F814W ",10.3,196,19,201,19,20400,1,"NMBS C16794"
"C16900",149.96509,2.458612,0.89,1.6,6.0,"ACS-F814W ",10.51,180,17,191,18,20400,1,"NMBS C16900"
"C17241",149.91667,2.461638,0.734,6.3,6.0,"ACS-F814W ",11.01,177,8,171,8,20400,1,"NMBS C17241"
"C18111",149.95018,2.479113,0.73,1.6,3.7,"ACS-F814W ",10.59,252,16,266,17,20400,1,"NMBS C18111"
"C18449",149.95121,2.483094,0.738,5.6,4.0,"ACS-F814W ",11.44,284,8,276,7,20400,1,"NMBS C18449"
"C18834",149.94747,2.491786,0.736,1.7,6.0,"ACS-F814W ",10.51,178,9,187,10,20400,1,"NMBS C18834"
"C19894",149.92008,2.509326,0.738,3.5,6.0,"ACS-F814W ",10.93,223,8,223,8,20400,1,"NMBS C19894"
"C21861",149.92914,2.542256,0.697,3.2,6.0,"ACS-F814W ",11.08,197,7,198,7,20400,1,"NMBS C21861"
"C22777",149.95928,2.558176,0.729,4.5,1.3,"ACS-F814W ",11.02,176,17,174,17,20400,1,"NMBS C22777"
"C23241",149.93439,2.564554,0.412,2.4,2.5,"ACS-F814W ",10.21,113,5,114,5,20400,1,"NMBS C23241"
"C23448",149.96224,2.567799,0.737,15.6,6.0,"ACS-F814W ",11.21,149,10,136,9,20400,1,"NMBS C23448"
"C24747",149.95729,2.59243,0.886,1.6,2.9,"ACS-F814W ",10.8,196,16,208,17,20400,1,"NMBS C24747"
"C25085",149.96409,2.595454,0.695,3.8,6.0,"ACS-F814W ",10.89,242,10,241,10,20400,1,"NMBS C25085"
"C25511",149.95894,2.605771,0.695,2.3,4.8,"ACS-F814W ",10.55,163,16,167,16,20400,1,"NMBS C25511"
"C17589",149.91676,2.46966,0.755,1.5,2.8,"ACS-F814W ",10.51,191,12,203,13,20400,1,"NMBS C17589"
"C11435",149.94094,2.355349,0.909,2.5,4.4,"ACS-F814W ",10.92,172,11,177,12,20400,1,"NMBS C11435"
"C13250",149.9138,2.381931,0.891,10.4,5.3,"ACS-F814W ",11.49,266,18,250,16,20400,1,"NMBS C13250"
"C13906",149.90287,2.394283,0.742,2.3,6.0,"ACS-F814W ",10.8,209,7,215,7,20400,1,"NMBS C13906"
"C19201",149.93305,2.497925,0.73,4.6,6.0,"ACS-F814W ",11.07,182,6,179,6,20400,1,"NMBS C19201"
"C19452",149.96611,2.501409,0.532,4.1,1.9,"ACS-F814W ",10.91,195,8,192,8,20400,1,"NMBS C19452"
"C19941",149.90983,2.504593,0.731,6.5,4.7,"ACS-F814W ",11.24,225,7,217,6,20400,1,"NMBS C19941"
"C20186",149.91829,2.51519,0.719,2.6,6.0,"ACS-F814W ",10.45,153,21,157,21,20400,1,"NMBS C20186"
"C20343",149.91321,2.512182,0.725,7.3,4.5,"ACS-F814W ",11.44,262,5,250,5,20400,1,"NMBS C20343"
"C20567",149.92931,2.518849,0.731,5.4,6.0,"ACS-F814W ",10.9,174,9,169,8,20400,1,"NMBS C20567"
"C20636",149.95252,2.521892,0.671,2.3,3.0,"ACS-F814W ",10.44,166,9,170,10,20400,1,"NMBS C20636"
"C21084",149.93449,2.527959,0.469,3.6,0.7,"ACS-F814W ",10.33,142,9,140,9,20400,1,"NMBS C21084"
"C21355",149.92575,2.531674,0.727,2.8,2.6,"ACS-F814W ",11.17,218,6,222,6,20400,1,"NMBS C21355"
"C21526",149.928,2.535099,0.669,2.2,1.3,"ACS-F814W ",10.74,282,8,291,9,20400,1,"NMBS C21526"
"C21722",149.92405,2.538428,0.55,4.4,6.0,"ACS-F814W ",10.76,190,6,186,6,20400,1,"NMBS C21722"
"C22359",149.93368,2.550471,0.439,7.3,6.0,"ACS-F814W ",10.89,178,5,167,4,20400,1,"NMBS C22359"
"U34617",34.387392,-5.225489,0.645,3.6,2.5,"WFC3-F160W",10.83,171,7,171,7,27600,2,"[VBH2012] CANDELS UDS  9428"
"U34621",34.397034,-5.225156,0.648,2.7,3.6,"WFC3-F160W",10.84,233,6,237,6,27600,2,"[VBH2012] CANDELS UDS  9425"
"U35595",34.412364,-5.218095,0.646,2.2,3.9,"WFC3-F160W",10.7,237,8,244,9,27600,2,"[VBH2012] CANDELS UDS 10744"
"U35614",34.370962,-5.216513,0.648,3.2,2.8,"WFC3-F160W",10.83,236,7,237,7,27600,2,"[VBH2012] CANDELS UDS 11042"
"U35812",34.377543,-5.213726,0.64,1.1,3.8,"WFC3-F160W",10.2,166,9,179,10,27600,2,"[VBH2012] CANDELS UDS 11361"
"U36418",34.312471,-5.208146,0.803,1.6,3.1,"WFC3-F160W",10.19,85,12,90,13,27600,2,"[VBH2012] CANDELS UDS 12321"
"U37266",34.368388,-5.201164,0.923,1.9,3.8,"WFC3-F160W",10.45,133,15,139,16,27600,2,"[VBH2012] CANDELS UDS 13874"
"U37305",34.258046,-5.200708,0.644,1.9,1.5,"WFC3-F160W",10.1,138,14,144,15,27600,2,"[VBH2012] CANDELS UDS 13796"
"U37448",34.390353,-5.201146,0.694,2.9,5.6,"WFC3-F160W",10.88,214,6,217,6,27600,2,"[VBH2012] CANDELS UDS 15086"
"U39101",34.337329,-5.185671,0.65,0.6,3.4,"WFC3-F160W",10.36,197,11,221,12,27600,2,"[VBH2012] CANDELS UDS 16597"
"U39256",34.401427,-5.183633,0.496,1.1,4.1,"WFC3-F160W",10.13,185,10,198,11,27600,2,"[VBH2012] CANDELS UDS 16951"
"U39720",34.312287,-5.179682,0.669,2.9,2.9,"WFC3-F160W",10.41,137,18,138,18,27600,2,"[VBH2012] CANDELS UDS 17646"
"U39741",34.232856,-5.179,0.82,0.6,1.9,"WFC3-F160W",10.07,152,18,172,20,27600,2,"[VBH2012] CANDELS UDS 17615"
"U40351",34.244696,-5.174502,0.627,2.0,5.2,"WFC3-F160W",10.37,139,5,144,5,27600,2,"[VBH2012] CANDELS UDS 18652"
"U40381",34.27391,-5.174563,0.912,1.0,5.2,"WFC3-F160W",10.31,197,16,215,18,27600,2,"[VBH2012] CANDELS UDS 18511"
"U40429",34.328664,-5.174875,0.43,1.7,2.6,"WFC3-F160W",10.56,179,4,184,4,27600,2,"[VBH2012] CANDELS UDS 18816"
"U40638",34.344313,-5.173955,0.669,3.9,3.6,"WFC3-F160W",10.85,130,7,129,7,27600,2,"[VBH2012] CANDELS UDS 19278"
"U40998",34.222025,-5.169812,0.646,2.3,1.7,"WFC3-F160W",10.25,92,7,95,7,27600,2,"[VBH2012] CANDELS UDS 19626"
"U41037",34.395023,-5.169933,0.432,1.6,4.2,"WFC3-F160W",10.39,171,9,177,10,27600,2,"[VBH2012] CANDELS UDS 19672"
"U41224",34.256416,-5.168275,0.429,1.0,4.6,"WFC3-F160W",10.0,125,9,133,10,27600,2,"[VBH2012] CANDELS UDS 19884"
"U41225",34.238786,-5.168077,0.821,3.3,2.2,"WFC3-F160W",10.89,238,18,240,18,27600,2,"[VBH2012] CANDELS UDS 19986"
