#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-06T13:36:33 [V7.33.3]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2024-05-06T13:36:33   Query execution date
#INFO request=https://vizier.cds.unistra.fr/viz-bin/asu-txt?-oc.form=sexa&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/682/964/table4,J/ApJ/682/964/notes,J/ApJ/682/964/table5&-order=I&-out=SDSS&-out=zFG&-out=zBG&-out=Re&Sloan=Sloan&   Full request URL (POST)
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.33.3   Software version
#INFO publisher=CDS   Data centre that produced the VOTable
#INFO CatalogsExamined=3 
#  3 catalogues with potential matches were examined.
#
#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO ivoid=ivo://cds.vizier/j/apj/682/964     IVOID of underlying data collection     
#INFO creator=Bolton A.S.     First author or institution     
#INFO cites=bibcode:2008ApJ...682..964B     Article or Data origin sources     
#INFO editor=Astrophysical Journal (AAS)     Editor name (article)     
#INFO original_date=2008     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.16820964     Dataset identifier that can be used for citation     
#INFO publication_date=2009-11-07     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#---Details of Columns:
#    SDSS        (a18)   SDSS name (HHMMSS.ss+DDMMSS.s) (1) [ucd=meta.id;meta.main]
#    zFG         (F7.4)  Foreground galaxy redshift (directly from SDSS database) [ucd=src.redshift]
#    zBG         (F7.4)  Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B) [ucd=src.redshift]
#    Re (arcsec) (F5.2)  ? Effective radius (6) [ucd=phys.angSize]
#------------------ ------- ------- -----
#                                   R    
#                                   e (ar
#SDSS               zFG     zBG     csec)
#------------------ ------- ------- -----
000802.96-000408.2  0.4400  1.1924  1.71
002817.87-092934.3  0.0565  0.7146 15.21
002907.77-005550.5  0.2270  0.9313  2.16
003753.21-094220.1  0.1955  0.6322  2.19
004402.90+011312.6  0.1196  0.1965  2.61
010933.73+150032.5  0.2939  0.5248  1.38
015758.94-005626.1  0.5132  0.9243  1.06
021652.54-081345.3  0.3317  0.5235  2.67
025245.21+003958.4  0.2803  0.9818  1.39
033012.14-002051.9  0.3507  1.0709  1.20
035458.47-064842.8  0.1301  0.3808  3.76
040535.41-045552.4  0.0753  0.8098  1.36
072804.95+383525.7  0.2058  0.6877  1.78
073728.45+321618.6  0.3223  0.5812  2.82
074251.84+345001.9  0.0853  0.7390  1.77
075834.68+303443.3  0.1156  0.5013  1.37
080240.82+450452.7  0.1423  0.4523  2.71
080358.21+453655.6  0.1313  0.2938  1.07
080858.78+470638.9  0.2195  1.0251  -1.0
081931.93+453444.8  0.1943  0.4462  1.98
082242.32+265243.5  0.2414  0.5941  1.82
084128.81+382413.7  0.1159  0.6567  4.21
084706.89+031822.6  0.1192  0.4146  1.91
090315.19+411609.1  0.4304  1.0645  1.78
090319.52+313951.2  0.2711  0.5494  3.03
091053.11+052023.2  0.2706  1.0741  -1.0 
091205.31+002901.2  0.1642  0.3239  3.87
091244.31+413637.0  0.0646  0.1377  1.24
092559.35+081411.8  0.1345  0.2251  1.44
093425.13+603423.5  0.1011  0.2440  1.65
093543.93-000334.8  0.3475  0.4670  4.24
093600.77+091335.8  0.1897  0.5880  2.11
094656.68+100652.8  0.2219  0.6085  2.35
095320.42+520543.7  0.1315  0.4673  1.22
095519.72+010144.4  0.1109  0.3159  1.09
095629.78+510006.6  0.2405  0.4699  2.19
095900.96+441639.4  0.2369  0.5315  1.98
095944.07+041017.0  0.1260  0.5350  1.39
101622.86+385903.3  0.1679  0.4394  1.46
102026.54+112241.1  0.2822  0.5530  1.59
102332.26+423001.8  0.1912  0.6960  1.77
102551.32-003517.5  0.1589  0.2764  4.94
102922.94+042001.8  0.1045  0.6154  1.56
102927.53+611505.3  0.1574  0.2512  2.73
103235.84+532234.9  0.1334  0.3290  0.81
103904.22+051335.8  0.0668  0.3627  2.40
103957.78+093351.0  0.2212  0.5612  -1.0 
104606.93+415116.1  0.1025  0.7584  1.03
110024.39+532913.9  0.3171  0.8581  2.24
110308.21+532228.2  0.1582  0.7353  1.95
110646.15+522837.8  0.0955  0.4069  1.68
110817.70+025241.3  0.1368  0.3105  1.17
111250.60+082610.4  0.2730  0.6295  1.50
111739.60+053414.0  0.2285  0.8230  2.20
113405.89+602713.5  0.1528  0.4742  2.02
113636.14+042625.0  0.1282  0.5341  0.88
114052.69+564044.5  0.0674  0.2968  1.92
114257.35+100111.8  0.2218  0.5039  1.91
114329.64-014430.0  0.1060  0.4019  4.80
115208.97+005431.0  0.1062  0.1590  0.86
115310.79+461205.3  0.1797  0.8751  1.16
115510.06+623722.4  0.3751  0.6690  2.88
115905.46+544738.3  0.0818  0.2695  1.90
120324.89+023301.1  0.1644  0.4380  2.70
120444.07+035806.4  0.1644  0.6307  1.47
120540.44+491029.4  0.2150  0.4808  2.59
121158.75+455036.6  0.1110  0.3170  2.89
121340.58+670829.0  0.1229  0.6402  3.23
