!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.4281 KPC
!Accuracy        :            1
!Mass of disk    :      46.8810 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000   669.57224       0.000000
    0.06964   656.18742       4.810344
    0.07714   654.76203       5.325742
    0.08464   653.33974       5.839554
    0.09322   651.71805       6.424983
    0.10286   649.89846       7.079420
    0.11250   648.08394       7.730219
    0.12429   645.87308       8.521109
    0.13607   643.66977       9.305532
    0.15000   641.07554      10.225683
    0.16500   638.29344      11.207781
    0.18107   635.32602      12.250058
    0.19929   631.97961      13.419665
    0.21964   628.26037      14.711179
    0.24107   624.36902      16.054650
    0.26572   619.92376      17.576335
    0.29250   615.12784      19.210874
    0.32143   609.98991      20.949952
    0.35357   604.33142      22.850733
    0.38893   598.16768      24.905580
    0.42750   591.51528      27.105603
    0.47036   584.21046      29.502588
    0.51750   576.27931      32.076418
    0.56893   567.74989      34.816757
    0.62679   558.30511      37.821484
    0.68893   548.33564      40.962952
    0.75751   537.54132      44.331108
    0.83358   525.81482      47.951776
    0.91715   513.22686      51.778058
    1.00929   499.69684      55.848857
    1.11001   485.31588      60.130063
    1.22037   470.03279      64.611927
    1.34251   453.67802      69.335412
    1.47644   436.39850      74.264170
    1.62430   418.08525      79.424350
    1.78716   398.80226      84.760757
    1.96609   378.64014      90.226494
    2.16216   357.71490      95.833232
    2.37859   335.95724     101.600615
    2.61645   313.56867     107.320815
    2.87788   290.67867     113.164231
    3.16610   267.37498     119.015837
    3.48217   243.96109     124.821178
    3.83039   220.53264     130.757876
    4.21397   197.32084     137.138144
    4.63504   144.08387     141.135372
    5.09897   119.66060     138.417222
    5.60898   119.01890     137.222039
    6.16934   113.25694     141.673314
    6.78649    87.89078     146.335213
    7.46578    72.40424     146.434433
    8.21150    59.59045     147.333384
    9.03330    40.59381     146.638118
    9.93652    32.32246     141.914641
   10.92974    25.93285     138.916107
   12.02261    18.50258     135.929825
   13.22476    13.55091     131.410466
   14.54799     9.60866     126.964987
   16.00300     6.23893     122.040550
   17.60266     4.01088     116.468839
   19.36303     2.69372     111.119460
   21.29912     1.50274     107.654924
