!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.3475 KPC
!Accuracy        :            1
!Mass of disk    :       2.4083 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000    61.87801       0.000000
    0.07941    59.92144       1.910676
    0.08796    59.71446       2.111302
    0.09652    59.50819       2.309877
    0.10629    59.27333       2.535959
    0.11729    59.01022       2.788369
    0.12828    58.74828       3.038305
    0.14172    58.42970       3.340986
    0.15516    58.11285       3.640463
    0.17104    57.74061       3.990267
    0.18815    57.34240       4.362415
    0.20647    56.91880       4.755672
    0.22724    56.44249       5.195154
    0.25045    55.91487       5.678534
    0.27489    55.36480       6.179033
    0.30299    54.73891       6.743931
    0.33353    54.06661       7.345517
    0.36652    53.34980       7.981875
    0.40317    52.56449       8.672392
    0.44349    51.71399       9.412883
    0.48747    50.80187      10.199626
    0.53634    49.80725      11.049199
    0.59010    48.73564      11.954090
    0.64874    47.59289      12.908633
    0.71471    46.33930      13.941588
    0.78557    45.02961      15.009032
    0.86376    43.62734      16.137419
    0.95051    42.12273      17.328327
    1.04580    40.52954      18.573539
    1.15087    38.84269      19.870842
    1.26571    37.07913      21.204496
    1.39155    35.23852      22.568191
    1.53083    33.30767      23.975291
    1.68354    31.31190      25.397825
    1.85214    29.24717      26.826249
    2.03785    27.13018      28.256902
    2.24188    24.98052      29.656648
    2.46545    22.81998      30.997468
    2.71224    20.95469      32.334410
    2.98347    18.68933      33.676120
    3.28157    16.34017      34.761277
    3.61021    14.78734      35.728589
    3.97062    12.48780      36.717326
    4.36769    11.00392      37.312777
    4.80507     9.49554      38.110058
    5.28521     7.61122      38.681275
    5.81422     6.35638      38.818218
    6.39576     5.08130      39.119851
    7.03472     3.38414      38.863524
    7.73844     2.47220      37.544375
    8.51302     1.89081      36.358369
    9.36334     1.32056      35.218294
   10.30041     0.98221      33.878326
   11.33033     0.62329      32.623111
   12.46287     0.39767      31.035593
   13.70904     0.28180      29.531021
   15.07982     0.14032      28.130223
   16.58866     0.10412      26.549010
   18.24777     0.04474      25.280329
   20.07181     0.01851      23.931825
