!Mass of bulge   :       7.8232 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  67597.62466       0.000000
    0.03908  67597.62466      77.018624
    0.04328  68085.10676      87.358787
    0.04749  65509.93437      99.646745
    0.05230  62693.44784     110.667126
    0.05771  61101.53813     121.044421
    0.06312  59354.65768     131.709882
    0.06974  56432.35764     144.261047
    0.07635  53230.48177     155.327260
    0.08416  50149.73444     166.809634
    0.09258  46816.56246     178.489192
    0.10160  44180.05294     189.530589
    0.11182  40431.36963     201.856333
    0.12324  36379.28339     215.148437
    0.13526  31577.19739     226.607188
    0.14909  26959.68578     236.787014
    0.16412  23058.43760     244.374256
    0.18035  20154.49281     250.153941
    0.19839  17371.54878     256.149167
    0.21822  14548.32566     261.700690
    0.23987  11218.04788     267.211667
    0.26391  8577.73556     267.897636
    0.29036  6908.46864     267.907642
    0.31922  5232.14559     265.747781
    0.35168  3980.47092     262.384602
    0.38655  3134.63007     258.370794
    0.42503  2294.34321     253.292715
    0.46771  1714.35572     248.248947
    0.51460  1185.27460     242.581035
    0.56630   693.77647     236.248600
    0.62281   339.34591     228.655872
    0.68473   154.99926     219.930179
    0.75326    65.11371     210.780393
    0.82841    25.15771     201.415781
    0.91137     8.80477     192.230184
    1.00275     2.77018     183.361183
    1.10315     0.77757     174.846517
    1.21316     0.19324     166.698142
    1.33460     0.04156     158.951810
    1.46805     0.00768     151.659654
    1.61474     0.00120     144.603212
    1.77645     0.00016     137.829392
    1.95380     0.00002     131.392285
    2.14918     0.00000     125.277628
    2.36440     0.00000     119.439903
    2.60066     0.00000     113.885420
    2.86096     0.00000     108.581047
    3.14712     0.00000     103.526914
    3.46153     0.00000      98.713345
    3.80780     0.00000      94.118035
    4.18895     0.00000      89.734063
    4.60736     0.00000      85.562575
    5.06846     0.00000      81.577785
    5.57524     0.00000      77.781826
    6.13252     0.00000      74.163537
    6.74572     0.00000      70.712430
    7.42023     0.00000      67.421938
    8.16267     0.00000      64.282654
    8.97906     0.00000      61.290686
    9.87660     0.00000      58.439459
   10.86433     0.00000      55.719658
   11.95064     0.00000      53.126883
   13.14576     0.00000      50.654388
