!Mass of bulge   :      27.3673 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  3187.77273       0.000000
    0.27125  3187.77273      39.808054
    0.29838  3157.76877      44.483140
    0.32731  3121.25088      49.426448
    0.35986  3075.31398      54.947194
    0.39603  3027.38961      60.305744
    0.43581  2963.78249      66.318387
    0.47921  2895.55193      72.601302
    0.52804  2810.31449      79.488227
    0.58048  2712.31767      86.508375
    0.63835  2594.13353      94.279745
    0.70164  2467.18437     101.904762
    0.77217  2319.52272     109.948647
    0.84993  2155.09050     118.127610
    0.93492  1973.20928     126.308211
    1.02715  1786.02787     134.020810
    1.13022  1589.69222     141.775496
    1.24415  1389.89886     148.530734
    1.36712  1196.54605     154.685238
    1.50455  1010.65123     159.927405
    1.65464   844.18194     164.101398
    1.82101   692.44247     167.216472
    2.00185   564.52704     169.287461
    2.20258   453.74774     170.465659
    2.42320   363.85213     170.215664
    2.66552   287.83165     169.668104
    2.93134   224.95102     168.467134
    3.22430   169.67874     166.789989
    3.54799   121.74458     164.461686
    3.90243    80.02392     161.631945
    4.29123    50.50389     157.485898
    4.72161    30.34211     152.751786
    5.19360    17.35332     147.477430
    5.71259     9.38742     141.833669
    6.28403     4.77251     135.996570
    6.91153     2.27053     130.136456
    7.60413     1.00008     124.320086
    8.36364     0.40695     118.672359
    9.20091     0.15103     113.212756
   10.11955     0.05090     107.970419
   11.13223     0.01535     102.944538
   12.24618     0.00410      98.156718
   13.47044     0.00097      93.586148
   14.81766     0.00019      89.238611
   16.29870     0.00004      85.078670
   17.92803     0.00001      81.127472
   19.72192     0.00000      77.349877
   21.69303     0.00000      73.752054
   23.66413     0.00000      70.613698
   25.63524     0.00000      67.844639
   27.60635     0.00000      65.377714
