!Mass of bulge   :       6.7031 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  17558.88885       0.000000
    0.12385  17558.88885      81.710823
    0.13718  17112.23442      93.364608
    0.15052  16476.87729     104.373964
    0.16576  15665.89842     115.855284
    0.18291  14704.51322     127.719002
    0.20006  13745.19616     138.287674
    0.22102  12785.28093     149.738838
    0.24198  11512.53583     160.663448
    0.26674  10385.02567     171.392185
    0.29342  9031.23957     182.111633
    0.32200  7694.87133     191.960778
    0.35439  6210.34791     200.137109
    0.39059  5067.65689     206.841095
    0.42870  3723.31146     211.675565
    0.47252  2547.43712     215.795167
    0.52015  1607.43208     215.976056
    0.57160   889.97162     213.631785
    0.62875   440.57540     208.581629
    0.69163   195.28228     201.678924
    0.76022    80.38629     194.484106
    0.83643    29.98265     185.361991
    0.92027    10.13274     178.230888
    1.01172     3.10279     169.341827
    1.11461     0.81946     160.993517
    1.22512     0.19610     153.619877
    1.34706     0.04047     146.510294
    1.48234     0.00703     139.687622
    1.63095     0.00103     133.142175
    1.79481     0.00013     126.842946
    1.97391     0.00001     121.001574
    2.17016     0.00000     115.400799
    2.38736     0.00000     110.026105
    2.62553     0.00000     104.917082
    2.88846     0.00000     100.027984
    3.17807     0.00000      95.361476
    3.49626     0.00000      90.918620
    3.84493     0.00000      86.698279
    4.22981     0.00000      82.659784
    4.65279     0.00000      78.813020
    5.11768     0.00000      75.148122
    5.63021     0.00000      71.646074
    6.19228     0.00000      68.317097
    6.81151     0.00000      65.137786
    7.49361     0.00000      62.102510
    8.24240     0.00000      59.214471
    9.06741     0.00000      56.456385
    9.97434     0.00000      53.828541
   10.97082     0.00000      51.325732
   12.06828     0.00000      48.936399
   13.27625     0.00000      46.657019
