!Z-Density law   : EXPONENTIAL
!Z Scaleheight   :       0.2840 KPC
!Accuracy        :            1
!Mass of disk    :      22.2694 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    0.00000  4510.40087       0.000000
    0.12385  3817.97191      33.877963
    0.13718  3750.05553      37.112867
    0.15052  3683.34730      40.278384
    0.16576  3608.56112      43.813323
    0.18291  3526.24014      47.686778
    0.20006  3445.79713      51.455444
    0.22102  3349.96580      55.918653
    0.24198  3256.79965      60.226403
    0.26674  3150.02905      65.128268
    0.29342  3038.95662      70.204495
    0.32200  2924.29288      75.417094
    0.35439  2799.56195      81.049706
    0.39059  2666.44203      86.976212
    0.42870  2533.14840      92.882054
    0.47252  2388.07738      99.244169
    0.52015  2239.79879     105.668078
    0.57160  2089.98161     112.074487
    0.62875  1935.24162     118.590959
    0.69163  1778.22701     125.093021
    0.76022  1608.69851     131.370656
    0.83643  1439.30903     137.271110
    0.92027  1304.35081     142.876922
    1.01172  1172.16506     148.526649
    1.11461  1014.75891     153.980662
    1.22512   868.84963     158.413294
    1.34706   732.82096     161.963867
    1.48234   606.19384     164.534078
    1.63095   493.19026     165.962947
    1.79481   392.83940     166.142473
    1.97391   313.77268     165.160235
    2.17016   240.66622     163.011767
    2.38736   192.58175     159.444175
    2.62553   155.24411     155.527053
    2.88846   129.00756     151.186997
    3.17807   110.41171     146.860160
    3.49626   100.32638     143.075042
    3.84493    91.58306     140.539389
    4.22981    84.60872     139.521069
    4.65279    65.61682     139.346424
    5.11768    50.60753     137.310678
    5.63021    36.62816     134.740138
    6.19228    23.19611     130.784647
    6.81151    15.28323     125.108250
    7.49361    10.70077     119.454212
    8.24240     7.27470     114.204857
    9.06741     4.47317     108.966315
    9.97434     2.51082     103.488531
   10.97082     1.53821      98.026380
   12.06828     1.01162      93.108608
   13.27625     0.41325      88.763872
