Name,Reff[arcsec],fDM
J0029-0055,2.42,0.05
J0037-0942,2.80,0.06
J0252+0039,1.27,0.03
J0330-0020,1.45,0.03
J0728+3835,1.79,0.04
J0737+3216,3.49,0.07
J0903+4116,3.53,0.07
J0959+0410,0.99,0.02
J1112+0826,1.80,0.04
J1204+0358,1.59,0.03
J1250+0523,1.60,0.03
J1306+0600,2.30,0.05
J1313+4615,2.15,0.04
J1402+6321,3.02,0.06
J1531-0105,3.43,0.07
J1621+3931,2.44,0.05
J1627-0053,2.76,0.06
J1630+4520,2.11,0.04
J1636+4707,1.79,0.04
J2238-0754,2.53,0.05
J2300+0022,1.86,0.04 
J2303+1422,3.48,0.07
J2343-0030,2.46,0.05

